timestamp,x_km,y_km,z_km,distance_from_earth_km
2026-Apr-03 00:00:00.0000,-4167.610090861469,6427.774643992089,477.4057898683686,7675.491973261245
2026-Apr-03 06:00:00.0000,-56241.2219742756,-64095.3317972853,-6501.428162334021,85519.32632752566
2026-Apr-03 12:00:00.0000,-74182.42184251879,-111377.0190454458,-10879.28423528022,134261.7998812135
2026-Apr-03 18:00:00.0000,-85893.77227287783,-149596.6208663381,-14367.64582343543,173099.1575265449
2026-Apr-04 00:00:00.0000,-94435.06338805247,-182319.6793765537,-17328.2049488451,206055.1221683751
2026-Apr-04 06:00:00.0000,-100962.7920098582,-211114.8109944828,-19916.18762218227,234860.8169130476
2026-Apr-04 12:00:00.0000,-106064.2542610848,-236847.6997759558,-22216.93556440584,260461.2277230418
2026-Apr-04 18:00:00.0000,-110096.1795339371,-260075.2987358343,-24284.44227367391,283460.8683699494
2026-Apr-05 00:00:00.0000,-113295.8575876842,-281167.8768050344,-26155.36532692501,304262.1064624459
2026-Apr-05 06:00:00.0000,-115836.9630373073,-300398.4263971646,-27859.83297676955,323161.8586422177
2026-Apr-05 12:00:00.0000,-117857.0614636856,-317967.2421708196,-29414.18650109973,340380.1527675976
2026-Apr-05 18:00:00.0000,-119565.811846341,-333990.1734051221,-30891.05918601151,356089.4225209333
2026-Apr-06 00:00:00.0000,-120959.1278742624,-348651.4250224269,-32215.65111558391,370441.3245887561
2026-Apr-06 06:00:00.0000,-122248.88960923,-362023.7878748578,-33416.09079006453,383565.7037870299
2026-Apr-06 12:00:00.0000,-123753.9116493994,-374146.3041145793,-34503.29326685192,395589.3891112159
2026-Apr-06 18:00:00.0000,-126354.4760962083,-384831.7824642138,-35538.84902159142,406600.4970654988
2026-Apr-07 00:00:00.0000,-133067.3472040246,-389023.6002235425,-36665.63173483222,412784.0221875325
2026-Apr-07 06:00:00.0000,-132458.9554280896,-379765.9193422024,-37327.64900019777,403931.7785800107
2026-Apr-07 12:00:00.0000,-127568.3922468441,-369986.4283983407,-37701.27677987154,393173.0384579258
2026-Apr-07 18:00:00.0000,-121351.2704419864,-359569.9971605486,-37918.26189974487,381384.9869638535
2026-Apr-08 00:00:00.0000,-114305.5314414975,-348219.7817499958,-37987.97662550198,368464.1872533037
2026-Apr-08 06:00:00.0000,-106601.0233703072,-335738.1750655498,-37913.94697198813,354289.9487071815
2026-Apr-08 12:00:00.0000,-98299.644573519,-321961.747682802,-37670.99109347697,338734.8382794561
2026-Apr-08 18:00:00.0000,-89418.84187491104,-306721.8344958411,-37242.28603564842,321653.5417307037
2026-Apr-09 00:00:00.0000,-79964.81386193547,-289820.6801640505,-36598.80693479408,302869.3955746886
2026-Apr-09 06:00:00.0000,-69919.44296957452,-271016.3452699832,-35704.99729338282,282158.5276761891
2026-Apr-09 12:00:00.0000,-59243.58089483496,-249995.3752404892,-34520.07925935207,259227.9409919922
2026-Apr-09 18:00:00.0000,-47909.20971319007,-226311.9494470345,-32954.1619438996,233662.935929694
2026-Apr-10 00:00:00.0000,-35846.814824201,-199318.7786435373,-30903.92941932107,204860.9833681035
