flare_id,begin_time,peak_time,end_time,class_type,location,region
2026-04-01T13:38:00-FLR-001,2026-04-01T13:38Z,2026-04-01T13:48Z,2026-04-01T13:55Z,C5.3,N02E30,14409
2026-04-01T23:08:00-FLR-001,2026-04-01T23:08Z,2026-04-01T23:28Z,2026-04-01T23:45Z,C6.1,N20W23,14403
2026-04-02T17:23:00-FLR-001,2026-04-02T17:23Z,2026-04-02T18:15Z,2026-04-02T18:34Z,M3.5,N12W18,14404
2026-04-03T07:45:00-FLR-001,2026-04-03T07:45Z,2026-04-03T07:56Z,2026-04-03T07:58Z,M1.3,N02E07,14409
2026-04-03T12:46:00-FLR-001,2026-04-03T12:46Z,2026-04-03T12:50Z,2026-04-03T12:52Z,M1.3,N02E04,14409
2026-04-04T01:07:00-FLR-001,2026-04-04T01:07Z,2026-04-04T01:17Z,2026-04-04T01:23Z,M7.5,N02W02,14409
2026-04-04T07:38:00-FLR-001,2026-04-04T07:38Z,2026-04-04T07:58Z,2026-04-04T08:14Z,M1.7,N03W07,14409
2026-04-04T11:58:00-FLR-001,2026-04-04T11:58Z,2026-04-04T12:11Z,2026-04-04T12:22Z,M1.2,N02W09,14409
2026-04-04T22:54:00-FLR-001,2026-04-04T22:54Z,2026-04-04T23:04Z,2026-04-04T23:14Z,M1.0,N03W16,14409
2026-04-07T23:10:00-FLR-001,2026-04-07T23:10Z,2026-04-07T23:20Z,2026-04-07T23:26Z,C2.4,N18E75,14414
2026-04-09T08:23:00-FLR-001,2026-04-09T08:23Z,2026-04-09T08:45Z,2026-04-09T09:05Z,M1.0,N01W76,14409
